Date,Close
5/2/2021,57016
5/3/2021,56826
5/4/2021,54842
5/5/2021,56854
5/6/2021,55987
5/7/2021,57699
5/8/2021,59014
5/9/2021,57982
5/10/2021,55328
5/11/2021,56942
5/12/2021,54540
5/13/2021,49253
5/14/2021,49351
5/15/2021,48255
5/16/2021,44062
5/17/2021,44843
5/18/2021,43318
5/19/2021,38390
5/20/2021,40108
5/21/2021,35263
5/22/2021,38086
5/23/2021,33791
5/24/2021,38999
5/25/2021,37656
5/26/2021,38731
5/27/2021,38476
5/28/2021,35245
5/29/2021,34266
5/30/2021,36115
5/31/2021,36677
6/1/2021,36330
6/2/2021,37739
6/3/2021,38693
6/4/2021,37071
6/5/2021,35826
6/6/2021,35897
6/7/2021,34471
6/8/2021,33638
6/9/2021,36406
6/10/2021,36410
6/11/2021,37331
6/12/2021,36041
6/13/2021,38830
6/14/2021,39809
6/15/2021,39949
6/16/2021,38550
6/17/2021,37752
6/18/2021,35493
6/19/2021,36193
6/20/2021,35853
6/21/2021,32622
6/22/2021,32895
6/23/2021,33066
6/24/2021,34857
6/25/2021,32212
6/26/2021,31329
6/27/2021,32648
6/28/2021,34721
6/29/2021,36156
6/30/2021,34585
7/1/2021,33411
7/2/2021,33124
7/3/2021,34715
7/4/2021,35542
7/5/2021,33847
7/6/2021,33941
7/7/2021,34550
7/8/2021,32788
7/9/2021,33508
7/10/2021,33329
7/11/2021,33859
7/12/2021,32833
7/13/2021,32519
7/14/2021,32811
7/15/2021,31748
7/16/2021,31850
7/17/2021,31755
7/18/2021,31663
7/19/2021,30793
7/20/2021,29864
7/21/2021,31864
7/22/2021,32257
7/23/2021,32477
7/24/2021,33919
7/25/2021,34481
7/26/2021,37598
7/27/2021,38000
7/28/2021,40068
7/29/2021,39722
7/30/2021,40860
7/31/2021,41516
8/1/2021,41310
8/2/2021,38857
8/3/2021,38113
8/4/2021,39706
8/5/2021,40908
8/6/2021,42673
8/7/2021,43945
8/8/2021,43855
8/9/2021,45482
8/10/2021,45627
8/11/2021,46340
8/12/2021,44440
8/13/2021,47545
8/14/2021,46665
8/15/2021,46750
8/16/2021,46065
8/17/2021,45017
8/18/2021,44593
8/19/2021,46568
8/20/2021,48653
8/21/2021,48988
8/22/2021,48425
8/23/2021,49509
8/24/2021,48364
8/25/2021,48748
8/26/2021,47048
8/27/2021,48946
8/28/2021,48760
8/29/2021,48897
8/30/2021,48670
8/31/2021,46996
9/1/2021,48279
9/2/2021,49556
9/3/2021,50184
9/4/2021,50195
9/5/2021,51652
9/6/2021,51930
9/7/2021,46777
9/8/2021,46154
9/9/2021,46268
9/10/2021,45094
9/11/2021,45333
9/12/2021,45023
9/13/2021,45144
9/14/2021,46828
9/15/2021,47948
9/16/2021,47102
9/17/2021,47028
9/18/2021,48008
9/19/2021,47588
9/20/2021,43489
9/21/2021,40971
9/22/2021,43445
9/23/2021,44679
9/24/2021,43001
9/25/2021,42719
9/26/2021,43607
9/27/2021,42696
9/28/2021,41792
9/29/2021,41114
9/30/2021,43432
10/1/2021,48110
10/2/2021,48045
10/3/2021,48552
10/4/2021,49016
10/5/2021,51378
10/6/2021,54903
10/7/2021,54205
10/8/2021,53951
10/9/2021,54651
10/10/2021,55425
10/11/2021,57390
